name,description,user_per_month,cost_per_user_per_month,category,sub_category
SAP Adaptive Server Enterprise,"ObjectivesGain value with faster, more efficient transactional systemsTo thrive as a digital business, companies need software for processing new types of transactions at extreme scalability and with utmost confidence. SAP® Adaptive Server® EnterObjectivesGain value with faster, more efficient transactional systemsTo thrive as a digital business, companies need software for processing new types of transactions at extreme scalability and with utmost confidence. SAP® Adaptive Server® Enterprise (SAP ASE) delivers scalable, cost-effective data management functionality that modernizes transaction-intensive applications with high performance, continuous availability, and greater efficiency.Transactional data continues to expand at tre­mendously fast rates with no signs of slowing. Fueling the upsurge are new types of transactions from increasingly diverse sources – machine to machine, micropayments, distributed ledger sys­tems, and Internet-connected devices, to name a few. And the pervasiveness of automated devices such as smartphones, store beacons, and sensors creates even more transactions. Enterprises must figure out how to ingest and process these extra-ordinary numbers of transactions concurrently, reliably, and quickly.As a high-performance database platform, SAP ASE lets you dependably and affordably capture, store, and manage data generated from millions of business events occurring every minute of every day.The technology enables you to meet the demands of a digital economy. It helps you accelerate busi­ness growth as you process millions of transactions more quickly, protect data against common threats, and increase profitability through operational efficiencies.Gain value with faster, more efficient transactional systemsSAP Solution BriefBenefitsSolutionQuick Factsl·Boost transaction processing to enable new modes of businessExtreme transaction processing is enabling numer­ous new business approaches. From in-app mobile phone purchases to RFID sensors triggering inven­tory purchases, SAP ASE gives you the scalable, high-performance transaction-processing capabili­ties needed to power these applications. Innovative features free the database engine from performing input/output, network, and other potentially time-consuming activities for more predictable and consistent outcomes. To further enhance performance, you can increase the amount of data managed in main memory, improve CPU utilization, and execute query plans in parallel. Plus, the database MemScale option of SAP ASE equips applications with instant respon­siveness and significantly higher throughput by using the latest memory architectures for reduced resource contention and faster query response times.Processing and analyzing transactions quickly yields key benefits such as detecting fraud more quickly, finding insightful patterns in customer behavior, or delivering more personalized promotions. Boost transaction processing to enable new modes of businessMaintain business continuity and  shield data from threatsSimplify data management on premise and in the cloudInnovate with a choice of  deployment optionsSolutionBenefitsObjectivesQuick FactsSAP Solution Brief1. “ROI Study: The Case for SAP ASE Database Solutions,” IDC white paper sponsored by SAP, February 2017.38%More business transactions processed with SAP ASE1© 2017 SAP SE or an SAP affiliate company. All rights reserved.Maintain business continuity and  shield data from threatsData replication, encryption, and security tech-nologies are built into SAP ASE, protecting your data from unexpected disruptions and security breaches from within and outside the organization. That means you can keep your service levels con­sistent and your data secure at all times – whether in transit, when accessed, or while at rest.To help your business meet security and privacy requirements, SAP ASE employs state-of-the-art encryption technology. Full database encryption complements column-based encryption and pro­vides a straightforward approach to protecting all information in the database without affecting existing applications or running workloads. Simplify data management on  premise and in the cloudBy simplifying data management, digital busi­nesses can achieve lower costs and improved efficiencies while coping with rapid data growth, high transaction volumes, and large numbers of users. Advanced in-database compression of both structured and unstructured data allows you to store data more efficiently, which reduces storage costs. And because data retrieval is more efficient, better performance is realized.SAP ASE enables you to analyze the potential impact of extreme workloads on software systems. Using the workload analyzer option of SAP ASE, you can capture a workload from a production system, replay it on a testing environment, and quickly analyze the impact of configuration changes on application performance. As a cloud-ready solution, SAP ASE offers the flexibility to remain agile and competitive on SAP Cloud Platform, Amazon Web Services, and other cloud technologies. In addition to a wide range of options for cloud deployment, flexible licensing incorporates SAP ASE, SAP IQ software, and SAP Replication Server® in a single licensing model to meet your particular needs.Boost transaction processing to enable new modes of businessMaintain business continuity and  shield data from threatsSimplify data management on  premise and in the cloudInnovate with a choice of  deployment optionsBenefitsSolutionObjectivesQuick FactsSAP Solution Brief37%More efficient database administration33. “ROI Study: The Case for SAP ASE Database Solutions,” IDC white paper sponsored by SAP, February 2017.© 2017 SAP SE or an SAP affiliate company. All rights reserved.


prise (SAP ASE) delivers scalable, cost-effective data management functionality that modernizes transaction-intensive applications with high performance, continuous availability, and greater efficiency.Transactional data continues to expand at tre­mendously fast rates with no signs of slowing. Fueling the upsurge are new types of transactions from increasingly diverse sources – machine to machine, micropayments, distributed ledger sys­tems, and Internet-connected devices, to name a few. And the pervasiveness of automated devices such as smartphones, store beacons, and sensors creates even more transactions. Enterprises must figure out how to ingest and process these extra-ordinary numbers of transactions concurrently, reliably, and quickly.As a high-performance database platform, SAP ASE lets you dependably and affordably capture, store, and manage data generated from millions of business events occurring every minute of every day.The technology enables you to meet the demands of a digital economy. It helps you accelerate busi­ness growth as you process millions of transactions more quickly, protect data against common threats, and increase profitability through operational efficiencies.Gain value with faster, more efficient transactional systemsSAP Solution BriefBenefitsSolutionQuick Factsl·Boost transaction processing to enable new modes of businessExtreme transaction processing is enabling numer­ous new business approaches. From in-app mobile phone purchases to RFID sensors triggering inven­tory purchases, SAP ASE gives you the scalable, high-performance transaction-processing capabili­ties needed to power these applications. Innovative features free the database engine from performing input/output, network, and other potentially time-consuming activities for more predictable and consistent outcomes. To further enhance performance, you can increase the amount of data managed in main memory, improve CPU utilization, and execute query plans in parallel. Plus, the database MemScale option of SAP ASE equips applications with instant respon­siveness and significantly higher throughput by using the latest memory architectures for reduced resource contention and faster query response times.Processing and analyzing transactions quickly yields key benefits such as detecting fraud more quickly, finding insightful patterns in customer behavior, or delivering more personalized promotions. Boost transaction processing to enable new modes of businessMaintain business continuity and  shield data from threatsSimplify data management on premise and in the cloudInnovate with a choice of  deployment optionsSolutionBenefitsObjectivesQuick FactsSAP Solution Brief1. “ROI Study: The Case for SAP ASE Database Solutions,” IDC white paper sponsored by SAP, February 2017.38%More business transactions processed with SAP ASE1© 2017 SAP SE or an SAP affiliate company. All rights reserved.Maintain business continuity and  shield data from threatsData replication, encryption, and security tech-nologies are built into SAP ASE, protecting your data from unexpected disruptions and security breaches from within and outside the organization. That means you can keep your service levels con­sistent and your data secure at all times – whether in transit, when accessed, or while at rest.To help your business meet security and privacy requirements, SAP ASE employs state-of-the-art encryption technology. Full database encryption complements column-based encryption and pro­vides a straightforward approach to protecting all information in the database without affecting existing applications or running workloads. Simplify data management on  premise and in the cloudBy simplifying data management, digital busi­nesses can achieve lower costs and improved efficiencies while coping with rapid data growth, high transaction volumes, and large numbers of users. Advanced in-database compression of both structured and unstructured data allows you to store data more efficiently, which reduces storage costs. And because data retrieval is more efficient, better performance is realized.SAP ASE enables you to analyze the potential impact of extreme workloads on software systems. Using the workload analyzer option of SAP ASE, you can capture a workload from a production system, replay it on a testing environment, and quickly analyze the impact of configuration changes on application performance. As a cloud-ready solution, SAP ASE offers the flexibility to remain agile and competitive on SAP Cloud Platform, Amazon Web Services, and other cloud technologies. In addition to a wide range of options for cloud deployment, flexible licensing incorporates SAP ASE, SAP IQ software, and SAP Replication Server® in a single licensing model to meet your particular needs.Boost transaction processing to enable new modes of businessMaintain business continuity and  shield data from threatsSimplify data management on  premise and in the cloudInnovate with a choice of  deployment optionsBenefitsSolutionObjectivesQuick FactsSAP Solution Brief37%More efficient database administration33. “ROI Study: The Case for SAP ASE Database Solutions,” IDC white paper sponsored by SAP, February 2017.© 2017 SAP SE or an SAP affiliate company. All rights reserved.


",,,RDBMS,N/A
Microsoft SQL Server,"Gain insights from all your data by querying across relational, non-relational, structured and unstructured data, for a complete picture of your business using SQL Server 2019 with Apache Spark built in.Get the flexibility to use the language and platform of your choice with open source support. Run SQL Server on Linux containers with Kubernetes support or on Windows.Take advantage of breakthrough scalability and performance to improve the stability and response time of your database – without making app changes. Get high availability for mission-critical applications, data warehouses and data lakes.Achieve your security and compliance goals using the database rated as least vulnerable over the last nine years. Stay a step ahead using built-in features for data classification, data protection and monitoring and alerts.Turn data into answers using the enterprise reporting capabilities of SQL Server Reporting Services along with the included Power BI Report Server, which gives your users access to rich, interactive Power BI reports on any device.",,,RDBMS,N/A
MySQL,"MySQL 8.0 includes significant performance, security and developer productivity improvements enabling the next generation of web, mobile, embedded and Cloud applications.Document Store for developing both SQL and NoSQL document applications using a single database.Transactional Data Dictionary implemented as a set of SQL tables stored in a single InnoDB tablespace.SQL Roles for granting and denying permissions to groups of users, greatly reducing the security workload.OpenSSL as the default TLS/SSL library in MySQL.Reliability requiring little or no intervention to achieve continuous uptime. Ease of use with ""3 minutes from download to development"" installation and configuration.Low administration with very little database maintenance required.Replication providing flexible topologies for scale-out and high availability.Partitioning to improve performance and management of very large database environments.Stored Procedures to improve developer productivity.Triggers to enforce complex business rules at the database level. Views to ensure sensitive information is not compromised.",,,RDBMS,N/A
DB2,"IBM Db2® Database is a relational database that delivers advanced data management and analytics capabilities for your transactional workloads. This operational database is designed to deliver high performance, actionable insights, data availability and reliability, and it is supported across Linux, Unix and Windows operating systems.Accelerate your journey to AI to transform how your business operates with an open, extensible data and AI platform that runs on any cloud.Use machine learning to tune workloads and optimize queries for significantly faster querying.Enjoy faster data exploration, model more complex relationships and leverage support for data science tools.Choose from NoSQL, pureXML, Graph and JSON. Build in Java, .Net, Ruby, Python, Perl and more.Get Db2 up and running on your laptop within minutes, and start building applications quickly with a full-featured database.Benefit from built-in native encryption with enterprise key management.",,,RDBMS,N/A
SAP Customer Profitability Analytics,"You can use this business process to calculate customer profitability, which is one of the most frequently used methods for customer valuation. Customer profitability is most easily calculated as the difference between revenue and costs. It is more useful, however, to perform detailed customer contribution margin analysis including different revenue types, product costs, marketing costs, and sales costs, to produce a differentiated picture of customer profitability.The SAP ECC component Profitability Analysis (CO-PA), which manages cost and revenue data, lends itself optimally for performing more detailed customer contribution margin analysis. The data captured in CO-PA can be transferred into SAP NetWeaver BI for analysis. Similarly, you can also transfer data from SAP NetWeaver BI into CO-PA. In this way, you can use activities entered in SAP CRM to allocate sales and marketing costs to the individual customers that caused them in CO-PA.System posts incoming sales orders in profitability analysis (SAP ECC)This provides an early estimate of the anticipated revenues before the sales order has been completed.System posts billing documents and values (SAP ECC) When a sales order has been completed, SAP ECC posts billing documents and actual revenues in Controlling and in Financial Accounting.System performs derivation and valuation in profitability analysis (SAP ECC)When the incoming sales orders and billing documents are posted to profitability analysis, the system performs characteristic derivation and valuation, thereby complementing the document data.  System updates data in customer knowledge base System calculates (customer) profitability (SAP ECC)This is done using a detailed customer contribution margin scheme to compare in Profitability Analysis the revenue made with a customer against the sales deductions and the costs incurred (such as production and sales costs).System updates data in customer knowledge base (SAP NetWeaver BI)By regularly extracting data from SAP ECC into SAP NetWeaver BI, the system updates the profitability data in SAP NetWeaver BI.",,,Performance Management,N/A
Oracle EPM Cloud,"Oracle Enterprise Performance Management (EPM) Cloud gives you the agility you need to respond quickly in fast times. See why Gartner has named Oracle a leader for Cloud Financial Planning and Analysis Solutions and for Cloud Financial Close Solutions..Oracle EPM Cloud helps align planning across the enterprise. Respond to change faster—and more effectively—by developing agile forecasts for all lines of business. Create long-range forecasts for unpredictable business dynamics using sophisticated, built-in scenario modeling. Gain insight into dimensions of cost and profitability to determine where to invest limited resources.Oracle EPM Cloud enables organizations to adapt quickly to changing business and compliance requirements while reducing risk, improving controls, and delivering faster, more accurate insights to all stakeholders—anytime, anywhere.Drive accurate, connected plans—from long-range planning to periodic rolling forecasts and line-of-business planning—that incorporate best practices as needed. Whether you are in corporate financial planning and analysis, sales, marketing, human resources, IT, supply chain, or operations, everyone wins with the simplicity of Oracle Enterprise Performance Management (EPM) Cloud.Manage and drive profitability with Oracle Enterprise Performance Management (EPM) Cloud Profitability and Cost Management. Efficiently model profitability by segment and complex costing of shared services.Oracle EPM Cloud enables organizations to reinvent narrative reporting. Businesses of all sizes can streamline reporting processes and combine data plus narrative in a secure, collaborative environment to deliver faster and more accurate insights for all stakeholders—even on the go.Oracle Enterprise Data Management Cloud provides a single platform to flexibly manage enterprise data while maintaining data integrity and enterprise application alignment. With improved data management, you can drive agile business transformation.",,,Performance Management,N/A
Prophix,"Budgets are no longer a burden. Improve budgeting accuracy, reduce risk, and leverage automation to increase buy-in.Build dashboards that provide comprehensive, easy-to-understand views of company performance with just a few clicks.Enhance financial consolidation by adding processes and controls. Prophix automates collection and accuracy.Automate repetitive processes and build comprehensive workflows. Save time. Have confidence in your reports.Work smarter by automating repetitive tasks and have Prophix serve up insights naturally through voice or text, detect anomalies and quickly surfaces risk.When you’re making decisions, you want to know that your choices maintain and increase profitability for your business. Analyzing and projecting your profitability levels doesn’t have to be time-consuming guesswork.When you have Prophix to support your efforts, you can evaluate your business’ profitability and gain new insight into the impact of your decisions. With Prophix, you can quickly and effortlessly evaluate the crucial profitability measures at the individual product level, product line or even by projects… there is no limit.Using Prophix, you have increased accountability into both overall performance and performance at a departmental level. Using these profitability insights, you can determine things like which products, services, channels, or customers you should maintain, adjust, or discontinue. And, you’re empowered to quickly deliver precise information for faster decision making.If you’re looking for ways to effectively reduce costs and optimize performance, Prophix’s profitability analysis features are your strongest tools. You can identify how direct and indirect costs are assigned to products, customers, services, and distribution channels. Based on those insights, you can pinpoint which costs can be reduced and where profitability can be enhanced.Most importantly, profitability analysis tools can help you evaluate ways to change your business for improved profitability, and analyze the impacts that potential adjustments may have. For example, you can answer questions like, do we have capacity to increase the production of a specific item and how much will it cost? These observations help you put your business on the best course for the future.",,,Performance Management,N/A
SAP PowerDesigner,"Build a blueprint of your current enterprise architecture and visualise the impact of change before it happens with SAP PowerDesigner software.With capabilities such as data modelling, link and sync, and metadata management, you can automatically capture architecture layers and requirements, tap into a powerful metadata repository, and share discoveries with your team.On-premise deploymentInformation mapping and drag-and-drop interface to find business needs.IT impact analyses that uncover potential risks and roadblocks.Intuitive visualisations and Web-based dashboards for better collaboration.Create tight connections between your company’s unique requirements, language, and data models by using link-and-sync technology.Help developers and enterprise architects exchange information through a secure metadata repository that supports all modelling types.Simplify the lives of your users and IT staff with a flexible, wizard-driven system for documentation and Web-based reporting.Document dependencies accurately with a drag-and-drop mapping editor.Drag to or from any supported source to target model pairs.Create comprehensive mapping definitions for data dictionary entries.Provide secure, controlled access to metadata through wizard-driven lists, multimodel documents, and hyperlinked Web reporting.Share documents to foster project-wide collaboration and communication,even with non-modelers.Integrate all model types by using automatic link-and-sync technology.Streamline communication and collaboration to increase your organisation's responsiveness to change",,,Data Modelling,N/A
SQL Developer Data Modeler,"Oracle SQL Developer Data Modeler is a free graphical tool that enhances productivity and simplifies data modeling tasks. Using Oracle SQL Developer Data Modeler users can create, browse and edit, logical, relational, physical, multi-dimensional, and data type models. The Data Modeler provides forward and reverse engineering capabilities and supports collaborative development through integrated source code control. The Data Modeler can be used in both traditional and in Cloud environments.",,,Data Modelling,N/A
Enterprise Architect,"With built-in requirements management capabilities, Enterprise Architect helps you trace high-level specifications to analysis, design, implementation, test and maintenance models using UML, SysML, BPMN and other open standards.Enterprise Architect is a multi-user, graphical tool designed to help your teams build robust and maintainable systems. And using high quality, built-in reporting and documentation, you can deliver a truly shared vision easily and accurately!Fast! Enterprise Architect users agree - Enterprise Architect is a spectacularly fast performer, loading extremely large models in seconds. Featuring a high-performance model repository, Enterprise Architect easily accommodates large teams sharing the same view of the enterprise.With tightly integrated version control capabilities, and deployable cloud-based servers, Enterprise Architect also allows globally distributed teams to collaborate effectively on shared projects.Bring your models to life using dynamic model simulation. Verify the correctness of your behavioral models and gain a better understanding of how a business system works. Use triggers such as pressing a button, flicking a switch or receiving a message to control the execution of your simulations. Enterprise Architect can also control the flow of your simulation using Guards and Effects written in JavaScript.Enterprise Architect provides complete traceability from requirements, analysis and design models, through to implementation and deployment. Effective verification, validation and immediate impact analysis are possible across the entire life cycle, using such capabilities as Enterprise Architect's Relationship Matrix and Hierarchy View.Capture and trace formal requirements to design, build, deployment and beyond. Use impact analysis to trace proposed changes to original requirements. Build the right system.Enterprise Architect helps individuals, groups and large organizations model and manage complex information. By integrating and connecting a wide range of structural and behavioral information in visual form, you can build a coherent, verifiable model of what-is or what-will-be.Enterprise Architect provides powerful document generation and reporting tools with a full WYSIWYG template editor. Generate detailed reports with the information you need in the format your company or client demands!",,,Data Modelling,N/A
dbForge Studio for MySQL,"dbForge Studio for MySQL is a universal GUI tool for MySQL and MariaDB database development, management, and administration. The IDE allows you to create and execute queries, develop and debug stored routines, automate database object management, analyze table data via an intuitive interface. The MySQL client delivers data and schema comparison and synchronization tools, database reporting tools, backup options with scheduling, and much more.Building, editing, and running queries, as well as measuring and optimizing query performance.With these features, users can manage their accounts, set up permissions, monitor open sessions and their activity, as well as perform table maintenance. In addition, it is possible to back up and restore databases to/from a backup file.Creation of data reports and pivot tables, as well as data comparison and synchronization may take much time and efforts",,,Data Modelling,N/A
DbSchema,"Simplify database design & management. Edit, document and browse complex databases with a friendly GUI tool.Simplify database design with layouts. Gain a better understanding of complex databases by focusing on a specific part of the database schema.With our intuitive UI, it's very easy to create database design for complex schemas. The interface enables you to execute complex actions simply by drag&drop or double-click.Easy explore data from multiple tables simultaneously.Powerful editor with text-autocompletion.",,,Data Modelling,N/A
SAP Master Data Governance,"Consolidate and centrally govern the master data lifecycle to increase the quality and consistency of information across your organisation.Gain a single, trusted view of your data and address digital, analytical, and operational challenges head on. Simplify enterprise data management, increase data accuracy, and reduce your total cost of ownership with a single solution that facilitates consolidation and central governance.On-premise or private cloud deployment.Support for all master data domains and implementation styles.Prebuilt data models, business rules, workflow, and user interfaces.Enablement of SAP and non-SAP systems hybrid landscape.Consolidate and manage master data across the business, whether information is exchanged and accessed in SAP or non-SAP solutions on premise or in the cloud.Use prebuilt data models, rules, workflows, and user interfaces to quickly deploy tasks such as financial consolidation, customer service, and supplier onboarding.Support all your master data domains in one single application, and implement it in an on-premise, cloud, or hybrid environment. Create a single source of truth by consolidating your SAP and third-party data sources. Effectively process additional bulk updates on large volumes of data with mass processing. Allow various teams to own different master data attributes and enforce validated values for specific data points by enabling collaborative workflow routing and notification.Define, validate, and monitor your established business rules to confirm master data readiness and analyse the performance of all master data management activities.",,,Data Governance,N/A
Egnyte,"Egnyte enhances employee productivity, accelerates compliance, and reduces file-sharing infrastructure and administration costs.As content grows, so does the risk (and potential repercussions) of a data breach. Centralized visibility and control over files at all stages of the data lifecycle can help you find, protect and manage sensitive data that hackers want — and users might unwittingly provide. Egnyte provides integrated governance and security to minimize the legal, financial and operational liabilities that can result from data breaches.Rapidly discover and secure your most sensitive data.Ensure that the right people have access to the right content and detect potential exposure.Guard against accidental and malicious sharing of content through sensitive content controls.Detect potential exposure of sensitive information in real time.Focus on addressing the most serious issues first through automated ranking of risk severity level.Disable compromised user accounts with one-click.Detect malicious or careless insiders trying to access sensitive data, delete, or walk away with your content.Prevent suspicious logins and block risky geographies.Identify ransomware on your file system before your data is held hostage.Get alerted to zero-day ransomware attacks with sophisticated content intelligence right at the source of your files.",,,Data Governance,N/A
IBM InfoSphere Information Analyzer,"Provides data profiling and analysis to accurately evaluate the content and structure of your data for consistency and qualityUnderstanding the quality, content and structure of your data is an important first step when making critical business decisions. IBM InfoSphere Information Analyzer, a component of Information Server evaluates data quality and structure within and across heterogeneous systems. It utilizes a reusable rules library and supports multi-level evaluations by rule record and pattern. It also facilitates the management of exceptions to established rules. Analyzer helps identify data inconsistencies, redundancies and anomalies and makes inferences about the best choices for structure. Analyzing data is the primary purpose of Information Analyzer.The data profiling, analysis, and monitoring capabilities maximize development resources by identifying missing, incorrect, bad and redundant data before starting a data integration project.Continuous data quality monitoring and feedback reduces the risk of proliferating incorrect information. Facilitating the delivery of trusted content reinforces business users' confidence in the data.Identify and correct problems with data structure or validity before it affects your project. Downstream system costs due to data problems increase exponentially the later they're identified.Create reports that summarize analysis results and show details about your project. Choose from 80 configurable reports for visualizing analysis and trends.Information Analyzer and GDPR.Collaborative multi-user environment between business and IT.Integrated rules analysis.Advanced analysis and monitoring.Broad support for heterogeneous data.Integrated metadata.Language support.FlexPoint licensing",,,Data Governance,N/A
Melissa Data Quality Suite,"Clean Data Reduces Costs – and Headaches.Did you know that 91% of businesses suffer from common data quality issues? The most common are inaccurate data, outdated contacts, incomplete records, and duplicates. Without clean and accurate data, it’s hard to find new customers, better understand existing customers’ needs, and increase the lifetime value of every customer – today and tomorrow. For 30+ years, Melissa has been helping companies all over the world with solutions to improve the quality of data for a meaningful return on investment.Verify, correct and standardize U.S., Canadian and international addresses.Autocomplete addresses as they are entered to improve data entry speed and accuracy.Verify a customer’s identity for faster onboarding and fraud prevention.Verify an email address in real-time or batch to improve deliverability.Verify mobile and landline phones in the U.S. and internationally to improve tele and SMS marketing.Parse and genderize names and identify vulgar or fictitious names at point of entry.Identify and eliminate duplicate records that cost money and prevent a single customer view.Convert U.S. and international addresses to latitude and longitude coordinates for better mapping and analytics.Get the current addresses of U.S. and Canadian customers to cut waste associated with undeliverable mail",,,Data Governance,N/A
SAP BW/4HANA,"Packaged Data Warehouse for the Digital Enterprise.Simplify the provisioning of timely business insights using advanced in-memory computing technology.Streamline processes and support innovations with a single, trusted source for real-time insights. Based on SAP HANA, our next-generation data warehouse solution can help you capitalise on the full value of all your data from SAP applications or third-party solutions, as well as unstructured, geospatial, or Hadoop-based.Cloud and on premise deployment.Simplified modelling and administration.Integration with SAP and non-SAP applications.Intuitive user experience.Transform data practices to gain the efficiency and agility to deploy live insights at scale, both on premise or in the cloud.Drive digitisation across all lines of business with a Big Data warehouse, while leveraging digital business platform solutions from SAP.Maximise business adoption with advanced analytics, tailor applications to fit your needs, and reimagine your business with integrated machine learning.Speed up change requests and reduce implementation time, while reducing development spend with simplified modelling and administration features.Connect to SAP and non-SAP applications and data sources to reduce costs for data integration; extract, transform, and load processes; and on premise infrastructure.Increase user productivity and reduce shadow analytics, while increasing user adoption thanks to an intuitive user experience and a modern interface.Reduce wait time for data handling and enable intelligent automation, with high-volume data processing in real time.",,,In Memory Database,N/A
Snowflake,"Secure and easy access to any data with near-infinite scalability.Make timely, data-driven business decisions.Get secure and governed access to all accessible data.Create and manage all of your data workloads on one platform.Get all the insights from all your data by all your users, with the instant and near-infinite performance, concurrency and scale your organization requires.Seamlessly share and consume shared data to collaborate across your organization, and beyond, to solve your toughest business problems in real time.Boost the productivity of your data professionals and shorten your time to value in order to deliver modern and integrated data solutions swiftly from anywhere in your organization.Conventional data platforms and big data solutions struggle to deliver on their fundamental purpose: to enable any user to work with any data, without limits on scale, performance or flexibility. Whether you’re a data analyst, data scientist, data engineer, or any other business or technology professional, you’ll get more from your data with Snowflake.To achieve this, we built a new data platform from the ground up for the cloud. It’s designed with a patented new architecture to be the centerpiece for data pipelines, data warehousing, data lakes, data application development, and for building data exchanges to easily and securely share governed data. The result? A platform delivered as a service that’s powerful but simple to use.Snowflake’s cloud data platform supports a multi-cloud strategy, including a cross-cloud approach to mix and match clouds as you see fit. Snowflake is available globally on AWS, Azure and Google Cloud Platform. With a common and interchangeable code base, Snowflake delivers advantages such as global data replication, which means you can move your data to any cloud in any region, without having to re-code your applications or learn new skills.Snowflake’s multi-cluster shared data architecture enables governed and secure data sharing in real time. Create your own private data exchange to share and collaborate with business partners, suppliers, and employees in a centrally managed data hub. Easily source external data and open new routes to data monetization by participating in the Snowflake data marketplace.",,,In Memory Database,N/A
Google BigQuery,"A serverless, highly scalable, and cost-effective cloud data warehouse designed to help you make informed decisions quickly, so you can transform your business with ease.Accelerate time-to-value with a fully managed and serverless cloud data warehouse that is easy to set up and manage and doesn’t require a database administrator. Jump-start data analysis cost effectively and uncover meaningful insights to stay competitive.Quickly analyze gigabytes to petabytes of data using ANSI SQL at blazing-fast speeds, and with zero operational overhead.Efficiently run analytics at scale with a 26%–34% lower three-year TCO than cloud data warehouse alternatives.Seamlessly democratize insights with a trusted and more secure platform that scales with your needs.Query streaming data in real time and get up-to-date information on all your business processes. Predict business outcomes easily with built-in machine learning and without the need to move data.Securely access and share analytical insights in your organization with a few clicks. Easily create stunning reports and dashboards using popular business intelligence tools, out of the box.Have peace of mind with BigQuery’s robust security, governance, and reliability controls that offer high availability and a 99.9% uptime SLA. Data is encrypted by default and includes support for customer-managed encryption keys.
BigQuery ML enables data scientists and data analysts to build and operationalize ML models on planet-scale structured or semi-structured data, directly inside BigQuery, using simple SQL—in a fraction of the time. Learn more about the models we currently support.BigQuery BI Engine is a blazing-fast in-memory analysis service for BigQuery that allows users to analyze large and complex datasets interactively with sub-second query response time and high concurrency. BigQuery BI Engine seamlessly integrates with familiar tools like Google Data Studio, Looker, Sheets, and more to accelerate data exploration and analysis.BigQuery GIS uniquely combines the serverless architecture of BigQuery with native support for geospatial analysis, making BigQuery the only cloud data warehouse with built-in GIS functionality. Simplify your analyses, see spatial data in fresh ways, and unlock entirely new lines of business with support for arbitrary points, lines, polygons, and multi-polygons in WKT, WKB, and GeoJSON formats.",,,In Memory Database,N/A
Azure SQL Data Warehouse,"Azure Synapse is a limitless analytics service that brings together enterprise data warehousing and Big Data analytics. It gives you the freedom to query data on your terms, using either serverless on-demand or provisioned resources—at scale. Azure Synapse brings these two worlds together with a unified experience to ingest, prepare, manage, and serve data for immediate BI and machine learning needs.SQL Analytics: Complete T-SQL based analytics – Generally Available.Spark: Deeply integrated Apache Spark (Preview).Data Integration: Hybrid data integration (Preview).Studio: Unified user experience. (Preview).SQL Analytics refers to the enterprise data warehousing features that are generally available in Azure Synapse.SQL pool represents a collection of analytic resources that are being provisioned when using SQL Analytics. The size of SQL pool is determined by Data Warehousing Units (DWU).Import big data with simple PolyBase T-SQL queries, and then use the power of MPP to run high-performance analytics. As you integrate and analyze, SQL Analytics will become the single version of truth your business can count on for faster and more robust insights.",,,In Memory Database,N/A
Amazon Redshift,"Redshift powers analytical workloads for Fortune 500 companies, startups, and everything in between. Companies like Lyft have grown with Redshift from startups to multi-billion dollar enterprises.No other data warehouse makes it as easy to gain new insights from all your data. With Redshift you can query petabytes of structured and semi-structured data across your data warehouse and your data lake using standard SQL. Redshift lets you easily save the results of your queries back to your S3 data lake using open formats like Apache Parquet to further analyze from other analytics services like Amazon EMR, Amazon Athena, and Amazon SageMaker.By leveraging Redshift Spectrum's ability to query data directly into our Amazon S3 data lake, we have been able to easily integrate new data sources in hours, not days or weeks. This has not only reduced our time to insight, but helped us control our infrastructure costs.Redshift is the world’s fastest cloud data warehouse and gets faster every year. For performance intensive workloads you can use the new RA3 instances to get up to 3x the performance of any cloud data warehouse.AQUA is a new distributed and hardware accelerated cache that allows Redshift to run up to 10x faster than any other cloud data warehouse.Scale and pay for storage and compute separately and get the optimal amount of storage and compute for diverse workloads. Choose the size of your Redshift cluster based on your performance requirements, and only pay for the storage that you use. The new managed storage automatically scales your data warehouse storage capacity without you having to add and pay for additional compute instances.Redshift makes it simple and cost effective to run high performance queries on petabytes of structured data so that you can build powerful reports and dashboards using your existing business intelligence tools.Bring together structured data from your data warehouse and semi-structured data such as application logs from your S3 data lake to get real-time operational insights on your applications and systems.",,,In Memory Database,N/A
SAP Analytics Hub,"A single front end for all analytics content No matter where your analytics assets are, SAP Analytics Hub brings it together in a cloud-based, searchable catalogue for all on-premise and cloud analytics. Access all of your analytics, including SAP or third-party content, in a single, front-end platform.Single access point for all analytics
Easily find and discover all corporate-trusted analytics, whether SAP or non-SAP documents, on premise or in the cloud. Understand report contents through rich definition and information in detailed view.Gain an easy, intuitive way to create assets and certify them before publishing – all done collaboratively. Content can be documented, categorized, and curated by power users and IT who certify the information before it's sent to business users.Through the hub cockpit, configure the tiles layout, facets, and branding of the hub to seamlessly match your corporate standards.",,,Analytics,N/A
SAP Analysis for Microsoft Office,"Uncover deep business insights in your data – with SAP Analysis for Microsoft Office. This business intelligence (BI) and multi-dimensional data analysis software makes it easy to filter and manipulate data, identify trends and outliers right within Excel, and share findings in live PowerPoint presentations – all without help from IT",,,Analytics,N/A
